State: AL, Representatives Count: 7
State: FL, Representatives Count: 28
State: GA, Representatives Count: 14
State: OR, Representatives Count: 6
State: IN, Representatives Count: 9
State: TX, Representatives Count: 38
State: CA, Representatives Count: 51
State: NY, Representatives Count: 25
State: MO, Representatives Count: 8
State: SC, Representatives Count: 7
State: TN, Representatives Count: 9
State: OK, Representatives Count: 5
State: VA, Representatives Count: 11
State: CT, Representatives Count: 5
State: AR, Representatives Count: 4
State: IL, Representatives Count: 17
State: CO, Representatives Count: 8
State: NC, Representatives Count: 14
State: AZ, Representatives Count: 9
State: KY, Representatives Count: 6
State: MD, Representatives Count: 8
State: MI, Representatives Count: 13
State: OH, Representatives Count: 15
State: MA, Representatives Count: 9
State: PA, Representatives Count: 17
State: WA, Representatives Count: 10
State: MN, Representatives Count: 8
State: WI, Representatives Count: 8
State: DC, Representatives Count: 1
State: NJ, Representatives Count: 12
State: ME, Representatives Count: 2
State: MP, Representatives Count: 1
State: LA, Representatives Count: 6
State: ID, Representatives Count: 2
State: NE, Representatives Count: 3
State: MS, Representatives Count: 4
State: NV, Representatives Count: 4
State: NH, Representatives Count: 2
State: VI, Representatives Count: 1
State: WV, Representatives Count: 2
State: AS, Representatives Count: 1
State: DE, Representatives Count: 1
State: PR, Representatives Count: 1
State: KS, Representatives Count: 4
State: UT, Representatives Count: 3
State: HI, Representatives Count: 2
State: ND, Representatives Count: 1
State: SD, Representatives Count: 1
State: IA, Representatives Count: 4
State: MT, Representatives Count: 2
State: NM, Representatives Count: 3
State: AK, Representatives Count: 1
State: GU, Representatives Count: 1
State: RI, Representatives Count: 2
State: VT, Representatives Count: 1
State: WY, Representatives Count: 1
